,address
1327,"Чистопрудный бульвар, 12, корпус 2"
1328,"улица Покровка, 15/16, строение 1"
1329,"улица Покровка, 15/16, строение 1"
1330,"Чистопрудный бульвар, 23, строение 1"
1331,"улица Земляной Вал, 3/1, строение 6"
1332,"улица Земляной Вал, 18-22, строение 2"
1333,"улица Земляной Вал, 24/30, строение 1"
1334,"улица Земляной Вал, 25"
1335,"улица Земляной Вал, 27, строение 1"
1336,"улица Земляной Вал, 32"
1337,"улица Земляной Вал, 44"
1338,"улица Шаболовка, 17"
1339,"улица Шаболовка, 20"
1340,"улица Шаболовка, 20"
1341,"улица Шаболовка, 24"
1342,"улица Шаболовка, 25, корпус 2"
1343,"улица Шаболовка, 29, корпус 2"
1344,"улица Шаболовка, 29, корпус 2"
1345,"улица Шаболовка, 29, корпус 2"
1346,"улица Шаболовка, 63, корпус 1"
1347,"Шарикоподшипниковская улица, 32"
1348,"улица Шверника, 19, корпус 1"
1349,"Шелепихинская набережная, 20"
1350,"проспект 60-летия Октября, 5, корпус 3"
1351,"проспект 60-летия Октября, 25, корпус 1"
1352,"проспект 60-летия Октября, 29, корпус 1"
1353,"Шипиловская улица, 17, корпус 2"
1354,"Шмитовский проезд, 1"
1355,"Шмитовский проезд, 5"
1356,"Шмитовский проезд, 10/7"
1357,"Шмитовский проезд, 14"
1358,"Шмитовский проезд, 24"
1359,"проезд Шокальского, 67, корпус 2"
1360,"Шоссейная улица, 31, корпус 2"
1361,"Шоссейная улица, 33"
1362,"Шоссейная улица, 42"
1363,"Шоссейная улица, 66, корпус 2"
1364,"улица Шухова, 21"
1365,"Щёлковское шоссе, 6"
1366,"Щёлковское шоссе, 9"
1367,"Щёлковское шоссе, 33"
1368,"Щёлковское шоссе, 54"
1369,"Щёлковское шоссе, 56/72"
1370,"Щёлковское шоссе, 85, корпус 1"
1371,"улица Щепкина, 25/20"
1372,"улица Щепкина, 27, корпус 1"
1373,"Щербаковская улица, 8"
1374,"Щербаковская улица, 50"
1375,"Щербаковская улица, 50"
1376,"Большой Лёвшинский переулок, 19"
1377,"Элеваторная улица, 8"
1378,"Энергетическая улица, 3"
1379,"Энергетическая улица, 18"
1380,"Энергетическая улица, 22"
1381,"шоссе Энтузиастов, 20"
1382,"шоссе Энтузиастов, 22/18"
1383,"шоссе Энтузиастов, 50"
1384,"шоссе Энтузиастов, 66/1"
1385,"шоссе Энтузиастов, 74/2"
1386,"город Зеленоград, улица Юности, 11"
1387,"улица Юных Ленинцев, 7"
1388,"улица Юных Ленинцев, 35, корпус 1"
1389,"улица Юных Ленинцев, 35, корпус 1"
1390,"улица Яблочкова, 21"
1391,"улица Яблочкова, 37"
1392,"3-я улица Ямского Поля, 13"
1393,"улица Академика Янгеля, 14, корпус 7"
1394,"Ярославская улица, 17"
1395,"Ярославское шоссе, 5"
1396,"Ярославское шоссе, 8, корпус 1"
1397,"Ярославское шоссе, 55, корпус 1"
1398,"Ярославское шоссе, 61"
1399,"Ярославское шоссе, 114"
1400,"Ярославское шоссе, 114, корпус 1"
1401,"Ярославское шоссе, 117"
1402,"Ярославское шоссе, 142"
1403,"Ясный проезд, 24, корпус 1"
1404,"Яузский бульвар, 14/8"
1405,"город Зеленоград, корпус 401"
1406,"город Зеленоград, корпус 435"
1407,"город Зеленоград, корпус 436"
1408,"город Зеленоград, корпус 438"
1409,"город Зеленоград, корпус 438"
1410,"город Зеленоград, корпус 834А"
1411,"город Зеленоград, корпус 1106"
1412,"город Зеленоград, корпус 1449"
1413,"Благовещенский переулок, 5"
1414,"улица Палиха, 9"
1415,"Осенний бульвар, 18, корпус 1"
1416,"Рублёвское шоссе, 16, корпус 1"
1417,"Большая Никитская улица, 22/2"
1418,"Большая Никитская улица, 22/2"
1419,"Новоспасский переулок, 3, корпус 1"
1420,"улица Волхонка, 9, строение 1"
1421,"улица Волхонка, 9, строение 1"
1422,"улица Волхонка, 9, строение 1"
1423,"улица Волхонка, 9, строение 1"
1424,"проспект Мира, 108"
1425,"Кантемировская улица, 16, корпус 1"
1426,"Будайский проезд, 8"
1427,"Ярославское шоссе, 2, корпус 2"
1428,"проезд Дежнёва, 29, корпус 1"
1429,"проезд Дежнёва, 29, корпус 1"
1430,"Октябрьская улица, 36"
1431,"Широкая улица, 9А"
1432,"Международная улица, 15"
1433,"Ленинградский проспект, 77, корпус 4"
1434,"Хабаровская улица, 2"
1435,"Балаклавский проспект, 2, корпус 2"
1436,"1-я Вольская улица, 17, корпус 1"
1437,"улица Декабристов, 10, корпус 2"
1438,"бульвар Дмитрия Донского, 6"
1439,"Новогиреевская улица, 29, корпус 1"
1440,"город Зеленоград, корпус 1456"
1441,"город Зеленоград, корпус 1456"
1442,"Новотушинский проезд, 6, корпус 1"
1443,"Новотушинский проезд, 6, корпус 1"
1444,"Митинская улица, 50"
1445,"Ярославское шоссе, 22, корпус 2"
1446,"Митинская улица, 52"
1447,"Ангелов переулок, 8"
1448,"Беговая улица, 26"
1449,"Жулебинский бульвар, 18/8"
1450,"Октябрьская улица, 2"
1451,"улица Грина, 15"
1452,"Дубравная улица, 40, корпус 1"
1453,"Профсоюзная улица, 140, корпус 6"
1454,"Рублёвское шоссе, 22, корпус 1"
1455,"Ленинский проспект, 113/1"
1456,"Новолучанская улица, 22, строение 1"
1457,"Ангелов переулок, 7"
1458,"Ангелов переулок, 7"
1459,"улица Барышиха, 42, корпус 1"
1460,"Ленинский проспект, 121/1, корпус 3"
1461,"3-й Митинский переулок, 1"
1462,"улица Кузнецкий Мост, 19, строение 1"
1463,"Пронская улица, 2"
1464,"Новочерёмушкинская улица, 66, корпус 1"
1465,"Жулебинский бульвар, 9"
1466,"Ащеулов переулок, 9"
1467,"улица Арбат, 19"
1468,"улица Арбат, 19"
1469,"улица Генерала Кузнецова, 12"
1470,"улица Генерала Кузнецова, 12"
1471,"Мичуринский проспект, 25, корпус 3"
1472,"Цветной бульвар, 24, корпус 1"
1473,"проспект Мира, 33, корпус 1"
1474,"проспект Мира, 33, корпус 1"
1475,"Алтуфьевское шоссе, 89"
1476,"проспект Мира, 146"
1477,"проспект Мира, 146"
1478,"Луков переулок, 8"
1479,"Хабаровская улица, 10/30"
1480,"Хабаровская улица, 8"
1481,"Преображенская улица, 6"
1482,"Сокольническая площадь, 4, корпус 1-2"
1483,"Сокольническая площадь, 4, корпус 1-2"
1484,"Преображенская площадь, 6"
1485,"Преображенская площадь, 6"
1486,"Ладожская улица, 8"
1487,"Большая Андроньевская улица, 25/33"
1488,"Люблинская улица, 157"
1489,"улица Авиаконструктора Миля, 8, корпус 1"
1490,"улица Авиаконструктора Миля, 8, корпус 1"
1491,"Поречная улица, 5/14, строение 1"
1492,"Котельническая набережная, 1/15, корпус В"
1493,"Котельническая набережная, 1/15, корпус ВК"
1494,"улица Перерва, 56/2"
1495,"Марксистская улица, 38"
1496,"Марксистская улица, 38"
1497,"Мячковский бульвар, 5, корпус 1"
1498,"Жулебинский бульвар, 5"
1499,"Братиславская улица, 26"
1500,"Братиславская улица, 26"
1501,"Жулебинский бульвар, 10/6"
1502,"Привольная улица, 61, корпус 1"
1503,"Братиславская улица, 29, корпус 1"
1504,"Братиславская улица, 16, корпус 1"
1505,"улица Перерва, 52"
1506,"улица Перерва, 52"
1507,"улица Перерва, 52"
1508,"Братиславская улица, 14"
1509,"Братиславская улица, 14"
1510,"Братиславская улица, 14"
1511,"Братиславская улица, 20"
1512,"Люблинская улица, 163/1"
1513,"Люблинская улица, 163/1"
1514,"Люблинская улица, 163/1"
1515,"Жулебинский бульвар, 25"
1516,"Жулебинский бульвар, 25"
1517,"Братиславская улица, 31, корпус 1"
1518,"Южнопортовая улица, 18"
1519,"улица Верхние Поля, 36, корпус 1"
1520,"Братиславская улица, 30"
1521,"Братиславская улица, 30"
1522,"Братиславская улица, 13, корпус 1"
1523,"улица Перерва, 58"
1524,"улица Перерва, 58"
1525,"улица Перерва, 58"
1526,"Братиславская улица, 27, корпус 1"
1527,"улица Трофимова, 33"
1528,"3-й Крутицкий переулок, 11"
1529,"улица Вавилова, 97"
1530,"улица Архитектора Власова, 22"
1531,"Ломоносовский проспект, 23"
1532,"Ломоносовский проспект, 23"
1533,"Скобелевская улица, 1, корпус 2"
1534,"улица Адмирала Лазарева, 68, корпус 3"
1535,"Южнобутовская улица, 69"
1536,"улица Адмирала Лазарева, 52, корпус 3"
1537,"улица Академика Семёнова, 3"
1538,"Южнобутовская улица, 75"
1539,"Чечёрский проезд, 56, корпус 1"
1540,"бульвар Дмитрия Донского, 11"
1541,"бульвар Адмирала Ушакова, 5"
1542,"бульвар Адмирала Ушакова, 5"
1543,"бульвар Адмирала Ушакова, 11"
1544,"улица Островитянова, 10, строение 1"
1545,"улица Дмитрия Ульянова, 5"
1546,"улица Дмитрия Ульянова, 5"
1547,"Валовая улица, 21, корпус 125"
1548,"Старокачаловская улица, 6"
1549,"бульвар Дмитрия Донского, 16"
1550,"Кожевническая улица, 8, строение 2"
1551,"улица 26-ти Бакинских Комиссаров, 3, корпус 3"
1552,"проспект Вернадского, 82, строение 2"
1553,"Курсовой переулок, 8/2"
1554,"Веерная улица, 30, корпус 2"
1555,"улица Академика Анохина, 9"
1556,"улица Академика Анохина, 13"
1557,"улица Покрышкина, 9"
1558,"Мичуринский проспект, 21, корпус 2"
1559,"улица Академика Анохина, 4, корпус 1"
1560,"Нежинская улица, 9, корпус 1"
1561,"Нежинская улица, 9, корпус 1"
1562,"проспект Вернадского, 92"
1563,"Минская улица, 1Г, корпус 1"
1564,"улица Академика Анохина, 58"
1565,"улица Академика Анохина, 60"
1566,"улица Академика Анохина, 2, корпус 6"
1567,"Кутузовский проспект, 22"
1568,"Кутузовский проспект, 33"
1569,"Кутузовский проспект, 24"
1570,"Бережковская набережная, 12"
1571,"улица Крылатские Холмы, 7, корпус 2"
1572,"улица Крылатские Холмы, 7, корпус 2"
1573,"Киевская улица, 18"
1574,"Кривоарбатский переулок, 16/22"
1575,"Рублёвское шоссе, 48/1"
1576,"Рублёвское шоссе, 48/1"
1577,"Митинская улица, 25"
1578,"Митинская улица, 25"
1579,"Пятницкое шоссе, 31, корпус 2"
1580,"Митинская улица, 25, корпус 3"
1581,"Ангелов переулок, 2, корпус 1"
1582,"улица Академика Бочвара, 2, корпус 2"
1583,"Строгинский бульвар, 7, корпус 1"
1584,"улица Генерала Белобородова, 11"
1585,"улица Генерала Белобородова, 11"
1586,"улица Генерала Белобородова, 11"
1587,"Уваровский переулок, 10"
1588,"Митинская улица, 53"
1589,"Митинская улица, 53"
1590,"Митинская улица, 53"
1591,"проспект Маршала Жукова, 48, корпус 1"
1592,"1-я линия Хорошёвского Серебряного Бора,овладение 10, строение 1"
1593,"Воротынская улица, 16"
1594,"Авиационная улица, 79"
1595,"Долгоруковская улица, 40"
1596,"Ленинградский проспект, 69, строение 1"
1597,"Ленинградский проспект, 69, строение 1"
1598,"Ленинградский проспект, 69, строение 1"
1599,"Селезнёвская улица, 4"
1600,"Селезнёвская улица, 4"
1601,"Селезнёвская улица, 4"
1602,"улица Лавочкина, 34"
1603,"улица Лавочкина, 34"
1604,"Коровинское шоссе, 2А"
1605,"Ангарская улица, 22, корпус 1"
1606,"улица Костякова, 10"
1607,"Дубнинская улица, 26, корпус 1"
1608,"Дубнинская улица, 15, корпус 1"
1609,"Бескудниковский бульвар, 6, корпус 3"
1610,"Михалковская улица, 1/51"
1611,"Первомайская улица, 33"
1612,"город Зеленоград, корпус 1805"
1613,"город Зеленоград, Никольский проезд, 5"
1614,"Каширское шоссе, 122"
1615,"Шипиловский проезд, 39, корпус 1"
1616,"Елецкая улица, 13"
1617,"Варшавское шоссе, 9"
1618,"Варшавское шоссе, 9"
1619,"Чертановская улица, 1В, корпус 1"
1620,"Чертановская улица, 1В, корпус 1"
1621,"улица Речников, 32"
1622,"Варшавское шоссе, 152, корпус 2"
1623,"Новокосинская улица, 8, корпус 2"
1624,"Новокосинская улица, 11, корпус 2"
1625,"Новокосинская улица, 11, корпус 2"
1626,"Новокосинская улица, 11, корпус 2"
1627,"Новокосинская улица, 11, корпус 2"
1628,"Большой Толмачёвский переулок, 4, строение 1"
1629,"Большой Толмачёвский переулок, 4, строение 1"
1630,"улица Остоженка, 25"
1631,"улица Серафимовича, 2"
1632,"улица Серафимовича, 2"
1633,"1-й Зачатьевский переулок, 4"
1634,"Краснопрудная улица, 13"
1635,"Луков переулок, 10"
1636,"Бакунинская улица, 23-41"
1637,"Бакунинская улица, 23-41"
1638,"Рубцовская набережная, 2, корпус 1"
1639,"Глубокий переулок, 1/2"
1640,"Глубокий переулок, 1/2"
1641,"Краснопресненская набережная, 2/1"
1642,"Марксистская улица, 7"
1643,"Долгоруковская улица, 6"
1644,"Долгоруковская улица, 6"
1645,"Конный переулок, 4"
1646,"Старомонетный переулок, 18"
1647,"Большая Грузинская улица, 37, строение 2"
1648,"Большая Грузинская улица, 37, строение 2"
1649,"Большая Грузинская улица, 37, строение 2"
1650,"улица Красная Пресня, 21"
1651,"улица Остоженка, 27, корпус 1"
1652,"улица Остоженка, 27, корпус 2"
1653,"1-й Тверской-Ямской переулок, 11"
1654,"2-й Щемиловский переулок, 4"
1655,"проезд Шокальского, 11"
1656,"улица Грекова, 11"
1657,"Маломосковская улица, 21, корпус 1"
1658,"Дмитровское шоссе, 165Е, корпус 9"
1659,"улица Молодцова, 2Б"
1660,"Большая Марфинская улица, 4, корпус 2"
1661,"Большая Марфинская улица, 4, корпус 3"
1662,"Большая Марфинская улица, 4, корпус 1"
1663,"улица Кашёнкин Луг, 8, корпус 3"
1664,"Заревый проезд, 1, корпус 1"
1665,"улица Руднёвка, 14"
1666,"Святоозерская улица, 18"
1667,"2-й Полевой переулок, 2"
1668,"улица Дмитриевского, 23"
1669,"Щёлковское шоссе, 18, корпус 1"
1670,"Лухмановская улица, 17"
1671,"Лухмановская улица, 30"
1672,"Русаковская улица, 31"
1673,"Суворовская улица, 12"
1674,"Перовская улица, 16"
1675,"шоссе Энтузиастов, 53"
1676,"Зелёный проспект, 22"
1677,"улица Металлургов, 62, корпус 1"
1678,"Сокольническая площадь, 9"
1679,"Сокольническая площадь, 9"
1680,"Сокольническая площадь, 9"
1681,"Сокольническая площадь, 9"
1682,"Погонный проезд, 3А"
1683,"Первомайская улица, 42"
1684,"Первомайская улица, 42"
1685,"Первомайская улица, 42"
1686,"Перовская улица, 66, корпус 4"
1687,"улица Васильцовский Стан, 5, корпус 1"
1688,"1-я улица Машиностроения, 10"
1689,"улица Хлобыстова, 14, корпус 1"
1690,"проспект Защитников Москвы, 14"
1691,"Волгоградский проспект, 84, корпус 1"
1692,"улица Островитянова, 5"
1693,"Профсоюзная улица, 58, корпус 4"
1694,"улица Воронцовские Пруды, 3"
1695,"Новочерёмушкинская улица, 34, корпус 1, строение 2"
1696,"Профсоюзная улица, 96"
1697,"улица Гарибальди, 3А"
1698,"Профсоюзная улица, 104"
1699,"Профсоюзная улица, 104"
1700,"Профсоюзная улица, 104"
1701,"Профсоюзная улица, 104"
1702,"Профсоюзная улица, 104"
1703,"Профсоюзная улица, 104"
1704,"улица Академика Пилюгина, 4"
1705,"улица Академика Пилюгина, 4"
1706,"улица Академика Пилюгина, 6"
1707,"улица Гарибальди, 7"
1708,"Ленинский проспект, 111, корпус 1"
1709,"Профсоюзная улица, 25, корпус 1"
1710,"улица Гарибальди, 6, корпус 1"
1711,"Малая Юшуньская улица, 3"
1712,"улица Академика Волгина, 8А"
1713,"улица Академика Волгина, 8А"
1714,"улица Академика Волгина, 8А"
1715,"улица Академика Виноградова, 1"
1716,"улица Миклухо-Маклая, 33"
1717,"улица Вавилова, 81, корпус 1"
1718,"Новоясеневский проспект, 9"
1719,"улица Обручева, 5А"
1720,"улица Маршала Савицкого, 6, корпус 1"
1721,"Мичуринский проспект, 5"
1722,"Мичуринский проспект, 7, корпус 1"
1723,"Мичуринский проспект, 7, корпус 1"
1724,"Мичуринский проспект, 7, корпус 1"
1725,"Мичуринский проспект, 7"
1726,"Веерная улица, 4, корпус 2"
1727,"Мичуринский проспект, 6, корпус 2"
1728,"Ломоносовский проспект, 29, корпус 1"
1729,"Ломоносовский проспект, 29, корпус 3"
1730,"Ломоносовский проспект, 29, корпус 3"
1731,"проспект Вернадского, 94, корпус 1"
1732,"Нежинская улица, 1, корпус 1"
1733,"улица Удальцова, 15"
1734,"Мичуринский проспект, 16"
1735,"Мичуринский проспект, 16"
1736,"Мичуринский проспект, 16"
1737,"улица Мичуринский Проспект, Олимпийская Деревня, 1, корпус 1"
1738,"Ломоносовский проспект, 25, корпус 1"
1739,"Ломоносовский проспект, 25, корпус 1"
1740,"улица Покрышкина,овладение 8, строение 3"
1741,"улица Столетова, 7"
1742,"улица Столетова, 17"
1743,"улица Столетова, 17"
1744,"улица Столетова, 7, корпус 1"
1745,"Веерная улица, 6"
1746,"Ломоносовский проспект, 25, корпус 5"
1747,"Ломоносовский проспект, 25, корпус 5"
1748,"Мосфильмовская улица, 53"
1749,"улица Крылатские Холмы, 37"
1750,"Сколковское шоссе, 32, корпус 1"
1751,"Молодогвардейская улица, 15"
1752,"Ярцевская улица, 32"
1753,"Авиационная улица, 63"
1754,"Новокуркинское шоссе, 43"
1755,"улица Соловьиная Роща, 9"
1756,"Иваньковское шоссе, 5"
1757,"улица Соловьиная Роща, 11"
1758,"улица Соловьиная Роща, 11"
1759,"проспект Маршала Жукова, 59"
1760,"Соколово-Мещерская улица,овладение 27"
1761,"Пятницкое шоссе, 15"
1762,"Соколово-Мещерская улица, 25"
1763,"улица Маршала Соколовского, 5"
1764,"Воротынская улица, 15"
1765,"Воротынская улица, 13/2"
1766,"Соколово-Мещерская улица, 16/114"
1767,"Соколово-Мещерская улица, 16/114"
1768,"Соколово-Мещерская улица, 16/114"
1769,"Родионовская улица, 10, корпус 1"
1770,"Родионовская улица, 10, корпус 1"
1771,"Родионовская улица, 12"
1772,"Родионовская улица, 12"
1773,"Родионовская улица, 12"
1774,"улица Маршала Тухачевского, 41, корпус 1"
1775,"улица Маршала Тухачевского, 41, корпус 1"
1776,"Митинская улица, 10, корпус 1"
1777,"Щукинская улица, 2"
1778,"проспект Маршала Жукова, 43, корпус 5"
1779,"улица Генерала Белобородова, 24"
1780,"улица Соловьиная Роща, 16"
1781,"Петровско-Разумовская аллея, 10, корпус 3"
1782,"Дмитровское шоссе, 13А"
1783,"Дмитровское шоссе, 13А"
1784,"улица Гризодубовой, 4, корпус 1"
1785,"улица Гризодубовой, 4, корпус 4"
1786,"проезд Берёзовой Рощи, 10"
1787,"Фестивальная улица, 20, корпус 2"
1788,"проезд Берёзовой Рощи, 6"
1789,"улица Дыбенко, 32, корпус 1"
1790,"улица Гризодубовой, 2"
1791,"Дубнинская улица, 53, корпус 1"
1792,"Бескудниковский бульвар, 19, корпус 2"
1793,"улица Островитянова, 9, корпус 5"
1794,"город Зеленоград, корпус 533"
1795,"город Зеленоград, корпус 826"
1796,"город Зеленоград, корпус 126"
1797,"город Зеленоград, корпус 330"
1798,"проспект Андропова, 42, корпус 1"
1799,"микрорайон Северное Чертаново, 1А"
1800,"микрорайон Северное Чертаново, 1А"
1801,"микрорайон Северное Чертаново, 1А"
1802,"микрорайон Северное Чертаново, 1А"
1803,"микрорайон Северное Чертаново, 1А"
1804,"микрорайон Северное Чертаново, 1А"
1805,"микрорайон Северное Чертаново, 1А"
1806,"1-й Нагатинский проезд, 11, корпус 1"
1807,"1-й Нагатинский проезд, 11, корпус 2"
1808,"1-й Нагатинский проезд, 11, корпус 2"
1809,"1-й Нагатинский проезд, 11, корпус 2"
1810,"1-й Нагатинский проезд, 11, корпус 3"
1811,"6-я Радиальная улица, 5, корпус 3"
1812,"Нагатинская набережная, 10, корпус 3"
1813,"улица Академика Янгеля, 2"
1814,"улица Академика Янгеля, 2"
1815,"улица Сретенка, 9"
1816,"Чистопрудный бульвар, 1А"
1817,"Чистопрудный бульвар, 1А"
1818,"Трубная улица, 21"
1819,"Шмитовский проезд, 16, строение 2"
1820,"Шмитовский проезд, 16, строение 2"
1821,"улица Арбат, 18, строение 1"
1822,"Котельническая набережная, 33, корпус 1"
1823,"Оболенский переулок, 9, корпус 1"
1824,"Оболенский переулок, 9, корпус 1"
1825,"улица Большие Каменщики, 2"
1826,"улица Большие Каменщики, 2"
1827,"улица Большая Якиманка, 50"
1828,"улица Большая Якиманка, 22, корпус 3"
1829,"улица Большая Дмитровка, 16, корпус 1"
1830,"Нижегородская улица, 25"
1831,"Пречистенская набережная, 17"
1832,"3-я Фрунзенская улица, 5, корпус 1"
1833,"Большая Грузинская улица, 69"
1834,"Большая Грузинская улица, 69"
1835,"Большая Грузинская улица, 69"
1836,"Ружейный переулок, 3"
1837,"Озерковская набережная, 26"
1838,"Озерковская набережная, 26"
1839,"Озерковская набережная, 26"
1840,"Озерковская набережная, 26"
1841,"Большая Татарская улица, 7"
1842,"Большая Татарская улица, 7"
1843,"Цветной бульвар, 2"
1844,"Цветной бульвар, 2"
1845,"Цветной бульвар, 2"
1846,"Цветной бульвар, 2"
1847,"2-й Неопалимовский переулок, 3"
1848,"Староконюшенный переулок, 45"
1849,"улица Бурденко, 3"
1850,"Мясницкая улица, 13, строение 3"
1851,"Мясницкая улица, 13, строение 3"
1852,"Мясницкая улица, 13, строение 3"
1853,"поселение Вороновское, село Вороново, 110"
1854,"поселение Внуковское, улица Лётчика Ульянина, 2"
1855,"поселение Внуковское, улица Лётчика Ульянина, 2"
1856,"поселение Внуковское, улица Лётчика Ульянина, 4"
1857,"поселение Новофедоровское, деревня Рассудово, улица Рассудовское Лесничество, 9А"
1858,"поселение Марушкинское, деревня Власово, Юбилейная улица, 148"
1859,"поселение Внуковское, деревня Ликова, 1А"
1860,"поселение Десеновское, Армейская улица, 1"
1861,"поселение Десеновское, деревня Десна, 144УЧ"
1862,"город Троицк, микрорайон ""В"", 39"
1863,"город Щербинка, Спортивная улица, 23"
1864,"поселение Московский, квартал № 80, 11А, строение 1"
1865,"город Троицк, Октябрьский проспект, 4"
1866,"город Щербинка, 2-я Барышевская улица, 1"
1867,"город Троицк, Нагорная улица, 4"
1868,"город Троицк, Сиреневый бульвар, 11"
1869,"город Щербинка, Юбилейная улица, 10"
1870,"город Щербинка, Юбилейная улица, 10"
1871,"город Щербинка, улица Мостотреста, 10"
1872,"город Щербинка, улица Мостотреста, 10"
1873,"поселение Московский, деревня Говорово, 1Б/Н"
1874,"поселение Московский, деревня Говорово, 1Б/Н"
1875,"поселение Московский, деревня Говорово, 1Б/Н"
1876,"поселение Щаповское, деревня Троицкое, 38Б"
1877,"поселение Краснопахорское, село Красная Пахра, 2"
1878,"поселение Краснопахорское, село Красная Пахра, 6"
1879,"поселение Краснопахорское, село Красная Пахра, 9"
1880,"поселение Щаповское, деревня Овечкино, 42"
1881,"поселение Внуковское, деревня Пыхтино, 46А"
1882,"поселение Воскресенское, посёлок Воскресенское, 1"
1883,"город Московский, 3-й микрорайон, 12"
1884,"поселение Сосенское, посёлок Коммунарка, улица Липовый Парк, 5, корпус 1"
1885,"поселение Сосенское, посёлок Коммунарка, улица Липовый Парк, 5, корпус 1"
1886,"поселение Сосенское, посёлок Коммунарка, улица Липовый Парк, 5, корпус 1"
1887,"поселение Сосенское, посёлок Коммунарка, улица Сосенский Стан, 11"
1888,"поселение Щаповское, посёлок Щапово, улица Садовый Квартал, 59А"
1889,"поселение Сосенское, улица Александры Монаховой, 101"
1890,"поселение Сосенское, улица Александры Монаховой, 101"
1891,"поселение Роговское, деревня Бунчиха, владение 1"
1892,"поселение Филимонковское, деревня Верхнее Валуево, 21А"
1893,"поселение Новофедоровское, деревня Яковлевское, 132"
1894,"поселение Московский, деревня Лапшинка, 2Б"
1895,"поселение Краснопахорское, село Красная Пахра, 8"
1896,"поселение Кленовское, село Кленово, улица 1-й километр Объездной Дороги, 11"
1897,"улица Мнёвники, 23"
1898,"улица Мнёвники, 21"
1899,"Митинская улица, 28, корпус 2"
1900,"улица Народного Ополчения, 3"
1901,"Газетный переулок, 17"
1902,"улица Маршала Полубоярова, 12"
1903,"город Зеленоград, проезд № 4922, 4, строение 4"
1904,"город Зеленоград, проезд № 4922, 4, строение 5"
1905,"Ленинградское шоссе, 63, корпус 1"
1906,"Ленинградский проспект, 80, корпус 19"
1907,"Ленинградский проспект, 80, корпус 17"
1908,"Ленинградский проспект, 80, корпус 17"
1909,"Конаковский проезд, 5"
1910,"город Зеленоград, Заводская улица, 16А"
1911,"Мячковский бульвар, 10, корпус 2"
1912,"Рублёвское шоссе, 24, корпус 4"
1913,"Полярная улица, 31В, строение 1"
1914,"Большая Черёмушкинская улица, 13, строение 1"
1915,"Янтарный проезд, 2"
1916,"Ярославское шоссе, 146, корпус 2"
1917,"Ленинский проспект, 4, строение 1А"
1918,"Авиационный переулок, 5"
1919,"улица Сущёвский Вал, 56, строение 1"
1920,"проспект Мира, 95, строение 3"
1921,"улица Сретенка, 27, строение 1"
1922,"улица Сретенка, 27, строение 1"
1923,"улица Сретенка, 27, строение 1"
1924,"улица Сретенка, 27, строение 1"
1925,"улица Сретенка, 11"
1926,"улица Рождественка, 5/7, строение 2"
1927,"улица Рождественка, 5/7, строение 2"
1928,"улица Рождественка, 5/7, строение 2"
1929,"улица Рождественка, 5/7, строение 2"
1930,"улица Рождественка, 5/7, строение 2"
1931,"улица Рождественка, 5/7, строение 2"
1932,"улица Рождественка, 5/7, строение 2"
1933,"Трубная улица, 20"
1934,"3-я Новоостанкинская улица, 6"
1935,"Неглинная улица, 8/10"
1936,"Неглинная улица, 8/10"
1937,"проспект Мира, 12, строение 1"
1938,"улица Кузнецкий Мост, 18/7"
1939,"улица Кузнецкий Мост, 18/7"
1940,"улица Кузнецкий Мост, 18/7"
1941,"Большая Сухаревская площадь, 1/2, строение 1"
1942,"Большая Сухаревская площадь, 1/2, строение 1"
1943,"Колокольников переулок, 22, строение 5"
1944,"Колокольников переулок, 22, строение 5"
1945,"Звёздный бульвар, 19, строение 1"
1946,"улица Рождественка, 6/9/20, строение 1"
1947,"улица Рождественка, 6/9/20, строение 1"
1948,"улица Рождественка, 6/9/20, строение 1"
1949,"улица Рождественка, 6/9/20, строение 1"
1950,"улица Большая Лубянка, 13/16, строение 1"
1951,"улица Большая Лубянка, 13/16, строение 1"
1952,"Профсоюзная улица, 122"
1953,"улица Генерала Тюленева, 4А, строение 1"
1954,"Тимирязевская улица, 27"
1955,"Докучаев переулок, 6, строение 2"
1956,"Комсомольская площадь, 4, строение 1"
1957,"1-я Фрунзенская улица, 3А"
1958,"Алтуфьевское шоссе, 1"
1959,"улица Станиславского, 21, строение 2"
1960,"Нижегородская улица, 52, строение 3"
1961,"1-й Грайвороновский проезд, 2, строение 10"
1962,"улица Пречистенка, 40/2, строение 3"
1963,"Большой Саввинский переулок, 12, строение 2"
1964,"Фармацевтический проезд, 1"
1965,"Дмитровское шоссе, 79"
1966,"Дмитровское шоссе, 75"
1967,"Угличская улица, 13, строение 3"
1968,"улица Академика Скрябина, 8, корпус 3"
1969,"Большой Предтеченский переулок, 15/8, строение 1"
1970,"Малый Кисловский переулок, 12/8, строение 1"
1971,"улица 1905 Года, 10, строение 1"
1972,"Большая Никитская улица, 19/13, строение 1"
1973,"Большая Никитская улица, 19/13, строение 1"
1974,"Леонтьевский переулок, 19/2, строение 1"
1975,"Леонтьевский переулок, 19/2, строение 1"
1976,"Столовый переулок, 10/2, строение 1"
1977,"Малая Бронная улица, 5-7, строение 1"
1978,"Баррикадная улица, 21/34, строение 3"
1979,"Баррикадная улица, 21/34, строение 3"
1980,"Малый Кисловский переулок, 11, строение 1"
1981,"Малая Бронная улица, 15Б"
1982,"Большой Козихинский переулок, 5, строение 1"
1983,"Мукомольный проезд, 3, строение 1"
